UPC,Brand Name,Product Name,Tags,Size,Type
46567002965,Raleys,Monterey Jack Chunk,Jack,1 lb (16 oz),Cheese
46567015149,Raleys,String Cheese,"Mozzarella String, Individually wrapped sticks",1 lb (16 oz),Cheese
46567002972,Raley's  Fresh Dairy,Mild Cheddar Cheese,"Cheddar, Orange, Mild",1 lb (16 oz),Cheese
46567002989,Raley's  Fresh Dairy,Medium Cheddar Cheese,"Cheddar, Orange, Medium",1 lb (16 oz),Cheese
46567002996,Raley's  Fresh Dairy,Sharp Cheddar Cheese,"Cheddar, Orange,Sharp",1 lb (16 oz),Cheese
46567003047,Raley's  Fresh Dairy,Longhorn Style Mild Cheddar Cheese,"Cheddar, Orange, Mild",1 lb (16 oz),Cheese
46567003054,Raley's  Fresh Dairy,Low-Moisture Part-Skim Mozzarella Cheese-Block,Mozzarella,1 lb (16 oz),Cheese
46567003061,Raley's  Fresh Dairy,Reduced Fat Mild Cheddar Cheese,"Cheddar, Orange, Mild",1 lb (16 oz),Cheese
46567003436,Raley's  Fresh Dairy,Whole Milk Low-Moisture Mozarella Cheese,Mozzarella,1 lb (16 oz),Cheese
46567003443,Raley's  Fresh Dairy,Low-Moisture Part-Skim Mozzarella Cheese- Round,Mozzarella,1 lb (16 oz),Cheese
46567003450,Raley's  Fresh Dairy,Reduced Fat Mozzarella Cheese,Mozzarella,1 lb (16 oz),Cheese
11110585080,Ralph's,Low-Moisture Part-Skim Mozarella Cheese-Block,Mozzarella,1 lb (16 oz),Cheese
11110596031,Ralph's,Monterey Jack Cheese,Jack,1 lb (16 oz),Cheese
11110596048,Ralph's,Colby Monterey Jack Cheese,Marbled or Blend of Authorized Cheese,1 lb (16 oz),Cheese
11110596055,Ralph's,Mild Cheddar Cheese-Block,"Cheddar, Orange, Mild",1 lb (16 oz),Cheese
11110596062,Ralph's,Sharp Cheddar Cheese-Block,"Cheddar, Orange,Sharp",1 lb (16 oz),Cheese
11110596086,Ralph's,Medium Cheddar Cheese-Block,"Cheddar, Orange, Medium",1 lb (16 oz),Cheese
11110596109,Ralph's,Longhorn Style Mild Cheddar Cheese-Block,"Cheddar, Orange, Longhorn",1 lb (16 oz),Cheese
11110596116,Ralph's,Longhorn Style Colby Cheese,Colby,1 lb (16 oz),Cheese
41380552734,Special Value,Mozzarella Cheese,Mozzarella,1 lb (16 oz),Cheese
41380550471,Springfield,Mild Cheddar Cheese,"Cheddar, Orange, Mild",1 lb (16 oz),Cheese
41380552024,Springfield,"Low Moisture, Part Skim Mozarella Cheese",Mozzarella,1 lb (16 oz),Cheese
41380552284,Springfield,Mozzarella String Cheese,"Mozzarella String, Individually wrapped sticks",1 lb (16 oz),Cheese
41380552468,Springfield,Monterey Jack Cheese,Jack,1 lb (16 oz),Cheese
41380552499,Springfield,Longhorn Cheddar Cheese,"Cheddar, Orange, Longhorn",1 lb (16 oz),Cheese
41380552505,Springfield,Mozzarella Cheese,Mozzarella,1 lb (16 oz),Cheese
41380552529,Springfield,Colby Jack Cheese,Marbled or Blend of Authorized Cheese,1 lb (16 oz),Cheese
41380553274,Springfield,Medium Cheddar Cheese,"Cheddar, Orange, Medium",1 lb (16 oz),Cheese
74175446451,Stater Bros.,Mild Cheddar Cheese,"Cheddar, Orange, Mild",1 lb (16 oz),Cheese
74175446468,Stater Bros.,Medium Cheddar Cheese,"Cheddar, Orange, Medium",1 lb (16 oz),Cheese
74175446475,Stater Bros.,Sharp Cheddar Cheese,"Cheddar, Orange,Sharp",1 lb (16 oz),Cheese
74175446482,Stater Bros.,Monterey Jack Cheese,Jack,1 lb (16 oz),Cheese
74175446499,Stater Bros.,Longhorn Style Mild Cheddar Cheese,"Cheddar, Orange, Longhorn",1 lb (16 oz),Cheese
74175446505,Stater Bros.,Colby Jack Cheese,Marbled or Blend of Authorized Cheese,1 lb (16 oz),Cheese
74175446512,Stater Bros.,Low-Moisture Part-Skim Mozzarella Cheese,Mozzarella,1 lb (16 oz),Cheese
74175464608,Stater Bros.,Mozzarella Cheese-Ball,Mozzarella,1 lb (16 oz),Cheese
7.17545E+11,Sunnyside Farms,String Cheese,"Mozzarella String, Individually wrapped sticks",1 lb (16 oz),Cheese
7.17545E+11,Sunnyside Farms,Montery Jack Chunk Reduced Fat,Jack,1 lb (16 oz),Cheese
7.17545E+11,Sunnyside Farms,Mozzarella Ball Whl Mlk,Mozzarella,1 lb (16 oz),Cheese
15400002646,Western Family,Mild Cheddar Cheese,"Cheddar, Orange, Mild",1 lb (16 oz),Cheese
15400002677,Western Family,Low-Moisture Part-Skim Mozzarella Cheese,Mozzarella,1 lb (16 oz),Cheese
15400002721,Western Family,Medium Cheddar Cheese,"Cheddar, Orange, Medium",1 lb (16 oz),Cheese
15400003063,Western Family,Monterey Jack Cheese,Jack,1 lb (16 oz),Cheese
15400003544,Western Family,Low-Moisture Park-Skim Mozzarella Cheese,Mozzarella,1 lb (16 oz),Cheese
15400004060,Western Family,String Cheese Low Moisture Part Skim Mozzarella C,"Mozzarella String, Individually wrapped sticks",1 lb (16 oz),Cheese
15400004206,Western Family,Longhorn Style Mild Cheddar Cheese,"Cheddar, Orange, Longhorn",1 lb (16 oz),Cheese
15400004671,Western Family,Longhorn Style Colby and Monterey Jack Cheese,Marbled or Blend of Authorized Cheese,1 lb (16 oz),Cheese
15400004688,Western Family,Sharp Cheddar Cheese,"Cheddar, Orange,Sharp",1 lb (16 oz),Cheese
