UPC,Brand Name,Product Name,Tags
11110587305,Kroger,Mild Cheddar Cheese,"Cheddar, White, Mild"
11110587312,Kroger,Monterey Jack Cheese,Jack
11110587329,Kroger,Medium Cheddar Cheese,"Cheddar, Orange, Medium"
11110587336,Kroger,Sharp Cheddar Cheese,"Cheddar, Orange,Sharp"
11110587374,Kroger,Colby Jack,Marbled or Blend of Authorized Cheese
11110894465,Kroger,Mozzarella,Mozzarella
91155134559,Los Altos,Mild Cheddar,"Cheddar, Orange, Mild"
91155134658,Los Altos,Sharp Cheddar,"Cheddar, Orange,Sharp"
91155135556,Los Altos,Monterey Jack,Jack
91155135754,Los Altos,Colby Jack,Marbled or Blend of Authorized Cheese
91155136553,Los Altos,Mozzarella,Mozzarella
91155138953,Los Altos,Mozzarella String Cheese,"Mozzarella String, Individually wrapped sticks"
21130042234,Lucerne,Colby Jack,Marbled or Blend of Authorized Cheese
21130042357,Lucerne,String Cheese,"Mozzarella String, Individually wrapped sticks"
21130043026,Lucerne,Whole Milk Mozzarella-Ball,Mozzarella
21130043927,Lucerne,Mild Cheddar,"Cheddar, Orange, Mild"
21130043958,Lucerne,Monterey Jack,Jack
21130044047,Lucerne,Sharp Cheddar,"Cheddar, Orange,Sharp"
21130044245,Lucerne,Light String Cheese Mozzarella,"Mozzarella String, Individually wrapped sticks"
21130046966,Lucerne,Low-Moisture Part-Skim Mozzarella Cheese-Ball,Mozzarella
21130047659,Lucerne,Medium Cheddar,"Cheddar, Orange, Medium"
21130047666,Lucerne,Reduced Fat Mozzarella-Ball,Mozzarella
85239116463,Market Pantry,Sharp Cheddar,"Cheddar, Orange,Sharp"
85239116494,Market Pantry,Colby,Colby
85239116531,Market Pantry,Monterey Jack Natural Cheese,Jack
85239116548,Market Pantry,Medium Cheddar,"Cheddar, Orange, Medium"
85239116555,Market Pantry,Mild Cheddar,"Cheddar, White, Mild"
85239118542,Market Pantry,Mozzarella,Mozzarella
46567002965,Raleys,Monterey Jack Chunk,Jack
46567015149,Raleys,String Cheese,"Mozzarella String, Individually wrapped sticks"
46567002972,Raley's  Fresh Dairy,Mild Cheddar Cheese,"Cheddar, Orange, Mild"
46567002989,Raley's  Fresh Dairy,Medium Cheddar Cheese,"Cheddar, Orange, Medium"
46567002996,Raley's  Fresh Dairy,Sharp Cheddar Cheese,"Cheddar, Orange,Sharp"
46567003047,Raley's  Fresh Dairy,Longhorn Style Mild Cheddar Cheese,"Cheddar, Orange, Mild"
46567003054,Raley's  Fresh Dairy,Low-Moisture Part-Skim Mozzarella Cheese-Block,Mozzarella
46567003061,Raley's  Fresh Dairy,Reduced Fat Mild Cheddar Cheese,"Cheddar, Orange, Mild"
46567003436,Raley's  Fresh Dairy,Whole Milk Low-Moisture Mozarella Cheese,Mozzarella
46567003443,Raley's  Fresh Dairy,Low-Moisture Part-Skim Mozzarella Cheese- Round,Mozzarella
46567003450,Raley's  Fresh Dairy,Reduced Fat Mozzarella Cheese,Mozzarella
11110585080,Ralph's,Low-Moisture Part-Skim Mozarella Cheese-Block,Mozzarella
11110596031,Ralph's,Monterey Jack Cheese,Jack
11110596048,Ralph's,Colby Monterey Jack Cheese,Marbled or Blend of Authorized Cheese
